cell_type,microenviroment
IIX_1,0
MPC_1,0
Immun_1,0
MPC_2,0
MPC_2,0
IIA_2,0
SMC_1,0
MPC_2,0
MPC_2,0
Immun_1,0
IIA_2,0
Fibro_1,0
Fibro_1,0
MPC_1,0
MPC_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Stem,0
Fibro_2,0
IIA_2,0
Fibro_1,0
Fibro_1,0
IIA_1,0
IIX_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
IIA_2,0
Dead,0
Fibro_1,0
Immun_1,0
Stem,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
Fibro_3,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
IIA_2,0
Dead,0
Immun_1,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Stem,0
MPC_2,0
Dead,0
Fibro_1,0
Immun_2,0
IIA_2,0
Fibro_2,0
Fibro_1,0
MPC_2,0
Fibro_3,0
IIA_2,0
Stem,0
Fibro_1,0
Immun_1,0
Fibro_1,0
Immun_2,0
Immun_1,0
Fibro_1,0
MPC_1,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
Dead,0
Fibro_1,0
MPC_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_2,0
MPC_2,0
IIX_1,0
IIA_2,0
MPC_2,0
Fibro_2,0
IIA_1,0
IIA_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_1,0
MPC_1,0
Fibro_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
I_2,0
IIA_2,0
Dead,0
Fibro_1,0
Immun_2,0
I_1,0
Immun_3,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
Stem,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIX_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Immun_1,0
MPC_1,0
Fibro_1,0
SMC_1,0
IIA_2,0
Stem,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIX_1,0
Immun_1,0
SMC_2,0
Fibro_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
IIA_2,0
Fibro_2,0
Fibro_1,0
IIA_2,0
MPC_1,0
MPC_2,0
Fibro_1,0
MPC_1,0
Fibro_3,0
Fibro_1,0
MPC_2,0
Immun_1,0
MPC_1,0
IIA_2,0
IIX_1,0
MPC_2,0
IIA_2,0
SMC_1,0
MPC_1,0
Fibro_1,0
IIA_2,0
Fibro_2,0
Immun_1,0
MPC_2,0
Immun_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_2,0
MPC_2,0
MPC_1,0
Immun_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
IIA_2,0
SMC_1,0
Immun_1,0
IIX_1,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIX_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Stem,0
IIA_2,0
Fibro_1,0
IIA_1,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_3,0
MPC_2,0
MPC_2,0
IIA_2,0
I_2,0
MPC_1,0
Stem,0
MPC_2,0
Immun_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_3,0
MPC_2,0
MPC_2,0
MPC_2,0
Immun_1,0
Fibro_1,0
IIX_1,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
Stem,0
MPC_2,0
IIA_2,0
I_1,0
MPC_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Stem,0
MPC_2,0
I_2,0
Fibro_1,0
IIA_2,0
I_2,0
MPC_2,0
Dead,0
Fibro_1,0
SMC_1,0
IIA_2,0
Immun_2,0
Immun_1,0
IIA_2,0
Stem,0
MPC_2,0
IIA_2,0
Fibro_2,0
MPC_1,0
Immun_1,0
MPC_2,0
Immun_2,0
Immun_1,0
Immun_1,0
IIA_2,0
Immun_1,0
IIA_2,0
Fibro_1,0
MPC_1,0
MPC_1,0
MPC_1,0
MPC_1,0
IIA_2,0
MPC_2,0
MPC_1,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_1,0
Fibro_1,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
I_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Stem,0
MPC_2,0
Immun_1,0
IIA_2,0
Immun_1,0
Immun_1,0
Dead,0
Dead,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
Immun_1,0
IIA_2,0
MPC_2,0
IIA_2,0
IIX_1,0
MPC_2,0
IIA_2,0
Immun_1,0
IIA_2,0
MPC_2,0
Immun_1,0
IIX_1,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Stem,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Fibro_1,0
Dead,0
Dead,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_3,0
SMC_1,0
Fibro_1,0
Fibro_2,0
MPC_2,0
IIX_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_1,0
Immun_1,0
MPC_2,0
Fibro_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
MPC_2,0
Dead,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_1,0
IIA_2,0
Fibro_3,0
MPC_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
Dead,0
Fibro_1,0
IIA_2,0
Dead,0
IIA_2,0
Immun_2,0
Fibro_2,0
I_2,0
IIA_2,0
IIA_2,0
Fibro_3,0
MPC_2,0
Stem,0
Fibro_2,0
Stem,0
MPC_1,0
IIA_2,0
Immun_1,0
IIA_2,0
Immun_3,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
IIA_1,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
MPC_2,0
Immun_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_2,0
Fibro_2,0
Fibro_3,0
IIA_2,0
Immun_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_3,0
MPC_2,0
Fibro_1,0
Fibro_2,0
MPC_2,0
Immun_3,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
Immun_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_2,0
Immun_2,0
Stem,0
MPC_2,0
SMC_1,0
IIX_1,0
MPC_2,0
IIA_2,0
Immun_2,0
Immun_2,0
IIA_1,0
IIA_2,0
Dead,0
IIA_2,0
Immun_1,0
Fibro_1,0
IIA_2,0
Immun_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_1,0
MPC_2,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIX_1,0
Stem,0
Fibro_1,0
MPC_2,0
IIA_2,0
Immun_2,0
IIA_2,0
MPC_2,0
Stem,0
IIA_2,0
Stem,0
MPC_2,0
IIA_1,0
Immun_1,0
IIA_2,0
Stem,0
IIA_2,0
IIA_2,0
Fibro_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_2,0
MPC_2,0
Dead,0
IIA_2,0
Fibro_1,0
Fibro_1,0
Fibro_1,0
Fibro_1,0
MPC_2,0
IIA_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_1,0
Fibro_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Dead,0
Immun_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
IIA_2,0
IIX_1,0
MPC_2,0
MPC_2,0
Stem,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Fibro_3,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
I_1,0
IIA_2,0
MPC_1,0
Fibro_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_1,0
Fibro_1,0
IIA_2,0
Dead,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_1,0
MPC_2,0
Stem,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
Fibro_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_1,0
IIA_2,0
Fibro_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Immun_1,0
MPC_2,0
IIA_1,0
Fibro_2,0
Fibro_2,0
Fibro_3,0
IIA_2,0
MPC_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
MPC_2,0
IIX_2,0
IIA_2,0
Immun_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_1,0
Stem,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_3,0
I_2,0
Stem,0
MPC_1,0
IIA_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
Stem,0
SMC_1,0
Immun_3,0
IIA_2,0
IIA_2,0
Stem,0
Stem,0
Fibro_1,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
Stem,0
MPC_2,0
Stem,0
MPC_2,0
MPC_2,0
Immun_1,0
Immun_2,0
IIA_2,0
Immun_2,0
MPC_2,0
Immun_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
Immun_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_1,0
Fibro_1,0
Immun_1,0
IIA_2,0
Immun_1,0
MPC_2,0
MPC_1,0
MPC_1,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Stem,0
IIA_2,0
Fibro_3,0
Fibro_3,0
IIA_2,0
Fibro_1,0
Fibro_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Stem,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
IIA_2,0
Immun_1,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
MPC_1,0
Fibro_1,0
MPC_1,0
Immun_2,0
MPC_2,0
Fibro_2,0
MPC_2,0
Immun_2,0
MPC_2,0
Fibro_2,0
MPC_2,0
Fibro_2,0
Dead,0
Immun_1,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
Fibro_2,0
IIA_2,0
Immun_1,0
MPC_2,0
I_1,0
SMC_1,0
Stem,0
MPC_2,0
Fibro_2,0
IIA_2,0
IIA_2,0
Dead,0
Fibro_1,0
MPC_2,0
IIA_2,0
Immun_3,0
SMC_1,0
IIA_1,0
IIA_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
MPC_2,0
Stem,0
IIA_2,0
Stem,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Fibro_1,0
Immun_2,0
IIA_1,0
Fibro_1,0
Fibro_1,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_1,0
Stem,0
MPC_2,0
SMC_1,0
Fibro_2,0
Immun_2,0
Immun_1,0
MPC_2,0
MPC_2,0
Fibro_1,0
Immun_3,0
I_1,0
Fibro_1,0
IIA_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
IIX_1,0
Fibro_1,0
MPC_2,0
Fibro_1,0
Fibro_1,0
Fibro_1,0
MPC_1,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
Stem,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
MPC_1,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_1,0
Stem,0
Fibro_1,0
MPC_2,0
IIA_2,0
Fibro_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_1,0
Immun_1,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
Dead,0
Dead,0
MPC_2,0
Immun_3,0
IIA_2,0
MPC_2,0
IIA_1,0
MPC_2,0
Fibro_1,0
Immun_1,0
IIA_2,0
IIA_1,0
MPC_2,0
IIA_2,0
Immun_1,0
IIA_2,0
Immun_2,0
Immun_3,0
MPC_2,0
Dead,0
MPC_2,0
Dead,0
I_1,0
Fibro_2,0
MPC_2,0
Immun_3,0
IIA_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
SMC_1,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_1,0
Stem,0
Fibro_1,0
IIA_2,0
MPC_2,0
Fibro_1,0
Immun_1,0
Stem,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
MPC_1,0
IIA_1,0
IIA_2,0
IIA_2,0
Immun_1,0
IIX_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIX_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
SMC_2,0
Immun_3,0
IIA_2,0
IIA_2,0
Fibro_1,0
Fibro_2,0
MPC_2,0
IIA_2,0
Fibro_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_1,0
IIA_2,0
MPC_2,0
IIA_2,0
Dead,0
IIA_2,0
Fibro_1,0
Stem,0
Stem,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
MPC_2,0
Immun_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Stem,0
Fibro_1,0
Stem,0
IIA_2,0
Immun_1,0
IIA_2,0
Stem,0
IIX_1,0
MPC_2,0
IIA_2,0
Fibro_3,0
IIA_2,0
MPC_2,0
Immun_2,0
MPC_2,0
MPC_2,0
Immun_1,0
MPC_2,0
Stem,0
IIA_2,0
Stem,0
Dead,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_2,0
Stem,0
Fibro_3,0
IIA_2,0
MPC_2,0
Fibro_1,0
Immun_1,0
IIX_1,0
MPC_2,0
Fibro_1,0
Fibro_1,0
Dead,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Dead,0
MPC_2,0
Immun_2,0
Fibro_1,0
Immun_1,0
IIA_1,0
Stem,0
Fibro_2,0
MPC_2,0
SMC_1,0
MPC_2,0
Fibro_1,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_1,0
MPC_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Stem,0
MPC_2,0
Fibro_2,0
MPC_2,0
MPC_2,0
IIX_1,0
IIA_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
Immun_1,0
Immun_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_1,0
Fibro_1,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
Fibro_2,0
MPC_2,0
SMC_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
Dead,0
SMC_2,0
I_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_2,0
MPC_2,0
Fibro_1,0
I_2,0
Fibro_1,0
SMC_1,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
Fibro_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
MPC_2,0
IIA_2,0
Fibro_2,0
Fibro_3,0
SMC_1,0
IIA_2,0
MPC_2,0
IIA_2,0
Stem,0
MPC_2,0
Fibro_1,0
IIA_2,0
Fibro_2,0
Fibro_1,0
MPC_2,0
Immun_1,0
IIA_2,0
Fibro_1,0
Dead,0
Fibro_1,0
Stem,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
IIX_1,0
Fibro_3,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Dead,0
IIX_1,0
IIX_2,0
IIA_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
Fibro_1,0
Stem,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Immun_1,0
Dead,0
MPC_2,0
Fibro_3,0
Fibro_1,0
IIA_2,0
IIX_1,0
IIA_2,0
MPC_2,0
Dead,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_3,0
IIA_2,0
MPC_2,0
Immun_3,0
Fibro_1,0
IIA_2,0
MPC_2,0
Stem,0
IIA_2,0
MPC_2,0
MPC_1,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
MPC_2,0
SMC_1,0
IIA_2,0
IIA_2,0
Immun_3,0
IIA_2,0
Fibro_1,0
Stem,0
IIA_2,0
Fibro_1,0
Fibro_1,0
MPC_2,0
Stem,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Immun_2,0
MPC_1,0
Stem,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_1,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_2,0
Fibro_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
SMC_1,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_1,0
IIA_2,0
I_1,0
SMC_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_1,0
Fibro_1,0
Immun_1,0
Immun_2,0
IIA_2,0
IIA_2,0
IIA_1,0
MPC_2,0
MPC_1,0
MPC_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Immun_3,0
MPC_1,0
Immun_1,0
Stem,0
MPC_2,0
MPC_2,0
Immun_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_3,0
SMC_1,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
MPC_1,0
Immun_2,0
IIA_2,0
Stem,0
MPC_1,0
Fibro_1,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_2,0
Immun_2,0
Immun_1,0
IIA_2,0
Immun_1,0
Dead,0
IIX_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Stem,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
Immun_2,0
MPC_2,0
Stem,0
MPC_1,0
IIA_2,0
IIA_2,0
Dead,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIX_1,0
IIA_2,0
IIX_2,0
Stem,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_1,0
Immun_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_3,0
IIA_2,0
IIA_2,0
Fibro_1,0
Dead,0
Immun_1,0
Fibro_1,0
Fibro_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Dead,0
Stem,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_1,0
IIA_2,0
IIA_2,0
Immun_1,0
Fibro_1,0
IIA_1,0
IIA_2,0
I_1,0
MPC_2,0
Stem,0
Stem,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
MPC_1,0
Fibro_1,0
IIA_2,0
MPC_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
I_2,0
MPC_2,0
SMC_1,0
IIX_1,0
MPC_2,0
IIA_2,0
Dead,0
MPC_2,0
Fibro_2,0
MPC_2,0
Immun_2,0
IIA_2,0
I_1,0
Fibro_2,0
IIA_2,0
MPC_1,0
IIA_2,0
MPC_2,0
Fibro_1,0
MPC_2,0
Stem,0
IIX_1,0
Immun_1,0
MPC_1,0
MPC_2,0
IIA_2,0
IIA_2,0
I_1,0
Immun_1,0
MPC_2,0
Fibro_1,0
Stem,0
IIA_2,0
SMC_2,0
MPC_2,0
IIA_2,0
Fibro_1,0
Fibro_3,0
IIA_2,0
Dead,0
Stem,0
IIA_2,0
Fibro_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
MPC_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
IIA_2,0
Stem,0
Fibro_1,0
MPC_2,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Dead,0
Fibro_1,0
Fibro_1,0
MPC_2,0
MPC_1,0
IIA_2,0
Immun_1,0
IIA_2,0
Fibro_3,0
Fibro_3,0
IIA_2,0
Fibro_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Stem,0
MPC_2,0
MPC_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
IIA_2,0
Fibro_1,0
Immun_1,0
IIA_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
SMC_1,0
IIA_2,0
MPC_1,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_1,0
Stem,0
Stem,0
Fibro_1,0
MPC_2,0
Immun_1,0
Immun_2,0
IIA_2,0
Immun_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_1,0
Fibro_2,0
Fibro_1,0
Immun_1,0
Fibro_3,0
IIA_2,0
Fibro_2,0
MPC_1,0
Fibro_2,0
IIA_2,0
Immun_1,0
IIA_2,0
IIA_2,0
I_2,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_3,0
IIA_2,0
MPC_2,0
Stem,0
IIA_2,0
IIA_2,0
Fibro_1,0
Fibro_1,0
IIA_2,0
Fibro_1,0
Immun_1,0
Immun_3,0
MPC_2,0
Immun_3,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_1,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIX_1,0
MPC_2,0
Fibro_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
Immun_1,0
Immun_1,0
Fibro_1,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_1,0
SMC_1,0
IIA_2,0
Stem,0
Fibro_2,0
IIA_2,0
IIA_2,0
Fibro_1,0
Immun_1,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
MPC_2,0
Stem,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_2,0
IIA_2,0
IIX_1,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
MPC_2,0
MPC_2,0
MPC_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
IIA_2,0
IIA_2,0
IIA_2,0
MPC_2,0
Immun_2,0
IIA_2,0
MPC_2,0
Fibro_1,0
Fibro_1,0
MPC_2,0
MPC_2,0
IIA_2,0
IIA_2,0
IIX_1,0
IIA_2,0
IIA_2,0
Immun_1,0
MPC_2,0
IIA_2,0
MPC_2,0
IIA_2,0
